Title,Date,Month,Fiscal Year,Library,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Description,Internal Notes,Published Status,Attendance
Me and You-kelele Storytime,07/01/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Come Sing, Read, and Rhyme With Us! Stories and music by our ukulele-playing librarian are a fun way to learn about sounds, rhythm, and rhyme and is a natural support for your child's early learning. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please be on time -- Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,Yes,65
MC Infants & Toddlers Bilingual Storytime,07/01/2016,Jul,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,90
lego weekend,07/01/2016,Jul,FY 17,Silver Spring,Science & Math (STEM),ACE - All Children Excel,,Preschool and Kindergarten,Elementary School Age,,friday 2pm- sunday,,No,
LEGO Playtime,07/01/2016,Jul,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,"Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library by may be photographed before you leave. All children must be accompanied by an adult at all times. For ages three and up. Sponsored by Friends of the Library, Twinbrook Chapter. No registration required. During the summertime, this event counts as an activity for the Explore Track of the Children's Summer Read & Learn Program. For more information call 240-777-0240.",,Yes,17
LEGO Crew,07/01/2016,Jul,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,32
Tutoring and Homework Help,07/02/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,
Tutoring and Homework Help,07/02/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Baby Storytime,07/05/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,33
Blocks: Play and Exploration,07/05/2016,Jul,FY 17,Wheaton,Science & Math (STEM),ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Free play and exploration with our giant building bricks (age 18 mos to 3), soft vinyl blocks (6 mos to 18 mos) and Duplo-type bricks (2 to 5). We have plenty, please leave your blocks at home.",,Yes,10
Baby Storytime,07/05/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,28
